Change history report
"October 1, 2025 - January 31, 2026"
Date & time,User,Campaign,Ad group,Changes
"Jan 14, 2026, 4:34:05 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 14, 2026, 4:34:03 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 13, 2026, 1:47:25 PM",webmaster@clix.co,Metal Fabrication | All Geos,,"15 negative exact match keywords added
  -[custom aluminum]
  -[augusta metal supply]
  -[kamet manufacturing]
  -[metal supply oakland]
  -[bayside metal works]
  -[aluminium sheets near me]
  -[eastside steel]
  -[welding steel supply near me]
  -[custom metal spinners]
  -[cadmium plating near me]
  -[aluminum construction]
  -[ralston cunningham associates]
  -[local manufacturing companies]
  -[steel vendors near me]
  -[laser cut metal signs near me]"
"Jan 13, 2026, 1:46:07 PM",webmaster@clix.co,Metal Fabrication | All Geos,Metal - Fabrication,"1 negative exact match keyword added
  -[titanium welding]"
"Jan 13, 2026, 1:45:37 PM",webmaster@clix.co,Fall Protection | All Geos,Fall Protection Systems - Generic,"1 responsive search ad changed
  Headline was ""Experts in Fall Protection""
  Headline was ""Custom Mechanical Solutions""
  Headline was ""Fall Protection Fabrication""
  Headline changed from ""Fall Protection Systems"" to ""Fall Protection Systems""
  Headline is ""Personal Fall Restraint System""
  Headline is ""Overhead Fall Protection""
  Headline is ""Fall Arrest Systems""
  Final URL is ""https://mathmec.com/our-services/fall-protection-systems/"""
"Jan 13, 2026, 1:45:37 PM",webmaster@clix.co,Fall Protection | All Geos,Anchor,"1 responsive search ad created
  Headline is ""Custom Anchor Install""
  Headline is ""OSHA Compliant Anchors""
  Headline is ""Anchor Inspection & Repair""
  Headline is ""Roof Fall Protection Systems""
  Description is ""Schedule a free anchor consultation today to upgrade your fall protection system.""
  Headline is ""Roof Anchoring Solutions""
  Headline is ""Fall Protection Anchors""
  Headline is ""Roof Tie Off Anchors""
  Description is ""Protect your team with certified fall protection anchor points and custom roof anchors.""
  Headline is ""Mathews Mechanical""
  Headline is ""Fall Protection Anchor Points""
  Description is ""Mathews Mechanical offers emergency service, inspections and custom anchor solutions.""
  Description is ""We design, install & repair roof anchors to keep workers safe and OSHA compliant.""
  Headline is ""Secure Roof Tie-Offs""
  Headline is ""Fall Safety Experts""
  Headline is ""Safe Anchor Systems""
  Headline is ""Custom Safety Solutions""
  Headline is ""{KeyWord:Roof Anchor}""
  Headline is ""Trusted Anchor Installers""
  Final URL is ""https://mathmec.com/our-services/fall-protection-systems/"""
"Jan 13, 2026, 1:45:37 PM",webmaster@clix.co,Fall Protection | All Geos,Engineered System,"1 responsive search ad changed
  Headline was ""Custom Mechanical Solutions""
  Headline was ""Fall Protection Fabrication""
  Headline was ""Mechanical Problem Solvers""
  Headline is ""Fall Protection Solutions""
  Headline is ""Quality Engineered Systems""
  Headline is ""Custom Solutions Made For You""
  Final URL is ""https://mathmec.com/our-services/fall-protection-systems/"""
"Jan 13, 2026, 1:45:37 PM",webmaster@clix.co,Fall Protection | All Geos,Climbing Devices,"1 responsive search ad changed
  Headline was ""Fall Protection Fabrication""
  Headline was ""Quality Equipment Repairs""
  Headline was ""Fall Protection Repair""
  Headline is ""Safety Ladder Cages""
  Headline is ""Ladder Fall Protection""
  Headline is ""Ladder Cages & PFAS""
  Final URL is ""https://mathmec.com/our-services/fall-protection-systems/"""
"Jan 13, 2026, 1:45:34 PM",webmaster@clix.co,Fall Protection | All Geos,Climbing Devices,"1 responsive search ad removed
  Headline was ""Fall Protection Fabrication""
  Description was ""Our Team Designs, Fabricates, Installs, & Maintains Complete Fall Protection Systems.""
  Description was ""Safety is Our Top Priority When Fabricating & Installing Our Fall Protection Systems.""
  Description was ""The Team at Mathews Mechanical Fabricates & Installs All Fall Protection Systems.""
  Description was ""We Strive to be the Premier Industrial Maintenance & Fabrication Shop in the Bay Area.""
  Headline was ""Mathews Mechanical""
  Headline was ""Call Our Team Today""
  Headline was ""Quality Equipment Repairs""
  Headline was ""Custom Mechanical Solutions""
  Headline was ""Contact Us Today""
  Headline was ""Bay Area Fall Protection""
  Headline was ""Fall Protection Installation""
  Headline was ""Mechanical Problem Solvers""
  Headline was ""Request an Estimate""
  Headline was ""Fall Protection Maintenance""
  Headline was ""Fall Protection Repair""
  Headline was ""Fall Protection Systems""
  Final URL was ""https://mathmec.com/our-services/fall-protection-systems/"""
"Jan 13, 2026, 1:44:47 PM",webmaster@clix.co,Fall Protection | All Geos,Guardrail/Railing,"1 ad group paused
  Status changed from enabled to paused"
"Jan 13, 2026, 9:20:33 AM",webmaster@clix.co,Fall Protection | All Geos,Fall Protection Systems - Generic,"2 negative exact match keywords added
  -[welkforder harness]
  -[malta dynamics]"
"Jan 13, 2026, 9:20:33 AM",webmaster@clix.co,Fall Protection | All Geos,Anchor,"1 negative exact match keyword added
  -[templink 3000]"
"Jan 13, 2026, 9:20:33 AM",webmaster@clix.co,Fall Protection | All Geos,Guardrail/Railing,"1 negative exact match keyword added
  -[guardrail force requirements]"
"Jan 13, 2026, 9:20:33 AM",webmaster@clix.co,Fall Protection | All Geos,Climbing Devices,"4 negative exact match keywords added
  -[rescue equipment for confined space]
  -[trsmima]
  -[proper use of retractable lanyard]
  -[osha fall protection requirements]"
"Jan 13, 2026, 9:19:06 AM",webmaster@clix.co,Fall Protection | All Geos,,"1 budget amount increased
  Fall Protection | All Geos: Budget amount changed from $25.00 to $26.00"
"Jan 13, 2026, 9:18:29 AM",webmaster@clix.co,Metal Fabrication | PMAX,,"1 budget amount increased
  Metal Fabrication | PMAX: Budget amount changed from $25.00 to $30.00"
"Jan 13, 2026, 4:33:15 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 13, 2026, 4:33:13 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 12, 2026, 6:25:05 AM",webmaster@clix.co,Metal Fabrication | All Geos,Metal - Fabrication,"1 negative exact match keyword added
  -[metals depot near me]"
"Jan 12, 2026, 6:25:05 AM",webmaster@clix.co,Metal Fabrication | All Geos,Steel - Fabrication,"1 negative exact match keyword added
  -[reyes metal albuquerque]"
"Jan 12, 2026, 4:33:24 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 12, 2026, 4:33:21 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 11, 2026, 4:32:09 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 11, 2026, 4:32:06 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 10, 2026, 4:32:34 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 10, 2026, 4:32:31 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 9, 2026, 4:33:54 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 9, 2026, 4:33:51 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 8, 2026, 11:35:22 AM",webmaster@clix.co,Metal Fabrication | All Geos,Aluminum - Fabrication,"1 responsive search ad changed
  Headline was ""Quality Equipment Repairs""
  Headline was ""Custom Fabrication Designers""
  Headline was ""Custom Designs""
  Headline was ""Highly experienced certified welders""
  Headline was ""Consistently produce""
  Headline was ""Custom Metal Fabrication - Mathews Mechanical""
  Headline was ""AWS Certified Welders""
  Description was ""We Offer A Variety Of Welding Techniques To Create The Most Reliable Custom Fabrications.""
  Headline was ""Expert Fabricators""
  Headline was ""Custom Aluminum Design""
  Description was ""Durable, high-quality metal fabrication. Made to last.""
  Description was ""We're a powerhouse of custom metal fabrication, welding, and metalworking expertise.""
  Headline was ""Matthews Mechanical""
  Headline was ""Top-of-the-line fabrication team""
  Headline was ""Welding and Metalworking""
  Description was ""Need a metal fabrication expert? We serve Seattle, Newark, Denver, & Portland""
  Headline was ""Aluminum Fabrication""
  Headline was ""Experienced certified welders, engineers, and technicians""
  Headline was ""Functional, customized, and ready-to-use fabrication""
  Headline was ""Engineers and technicians""
  Headline was ""Contact Mathews Mechanical today""
  Headline is ""Built To Your Specification""
  Final URL is ""https://mathmec.com/our-services/custom-metal-fabrication/"""
"Jan 8, 2026, 11:35:21 AM",webmaster@clix.co,Metal Fabrication | PMAX,,"7 proximity targets added
  25 Mile(s) around (45.483571, -122.688283)
  10 Mile(s) around (39.717646, -121.699389)
  25 Mile(s) around (47.59971, -122.0447)
  50 Mile(s) around (37.565662, -121.924858)
  50 Mile(s) around (38.284942, -122.430229)
  50 Mile(s) around (39.108076, -122.27642)
  50 Mile(s) around (38.58614, -121.463432)
68 geo targets added
  80211, Colorado, United States
  80022, Colorado, United States
  80004, Colorado, United States
  80916, Colorado, United States
  80126, Colorado, United States
  80005, Colorado, United States
  80514, Colorado, United States
  80910, Colorado, United States
  80129, Colorado, United States
  80904, Colorado, United States
  80134, Colorado, United States
  80524, Colorado, United States
  80012, Colorado, United States
  80020, Colorado, United States
  80465, Colorado, United States
  80908, Colorado, United States
  80401, Colorado, United States
  80909, Colorado, United States
  80216, Colorado, United States
  80204, Colorado, United States
  80249, Colorado, United States
  80301, Colorado, United States
  80010, Colorado, United States
  80915, Colorado, United States
  80905, Colorado, United States
  80138, Colorado, United States
  80907, Colorado, United States
  80219, Colorado, United States
  80002, Colorado, United States
  80521, Colorado, United States
  80233, Colorado, United States
  80526, Colorado, United States
  80403, Colorado, United States
  80525, Colorado, United States
  80906, Colorado, United States
  80229, Colorado, United States
  80123, Colorado, United States
  80903, Colorado, United States
  80003, Colorado, United States
  98055, Washington, United States
  98201, Washington, United States
  98092, Washington, United States
  98421, Washington, United States
  98188, Washington, United States
  98166, Washington, United States
  98136, Washington, United States
  98032, Washington, United States
  98312, Washington, United States
  98402, Washington, United States
  98444, Washington, United States
  98501, Washington, United States
  98108, Washington, United States
  98118, Washington, United States
  98002, Washington, United States
  98502, Washington, United States
  98001, Washington, United States
  98403, Washington, United States
  98443, Washington, United States
  98404, Washington, United States
  98056, Washington, United States
  98447, Washington, United States
  98134, Washington, United States
  98203, Washington, United States
  98422, Washington, United States
  98168, Washington, United States
  98409, Washington, United States
  98003, Washington, United States
  98148, Washington, United States
1 city added
  Newark, California, United States"
"Jan 8, 2026, 11:35:20 AM",webmaster@clix.co,Metal Fabrication | PMAX,,"1 city removed
  Seattle, Washington, United States
1 geo target removed
  San Francisco Bay Area, California, United States"
"Jan 8, 2026, 11:35:19 AM",webmaster@clix.co,Metal Fabrication | All Geos,Metal - Fabrication,"1 phrase match keyword removed
  ""Metal fabrication company"""
"Jan 8, 2026, 11:34:02 AM",webmaster@clix.co,Metal Fabrication | PMAX,,"2 proximity targets added
  30 Mile(s) around (47.409228, -122.251283) (custom)
  30 Mile(s) around (45.491479, -122.655376) (custom)
2 metros removed
  Denver CO, Colorado, United States
  Portland OR, United States"
"Jan 7, 2026, 1:29:21 PM",webmaster@clix.co,Metal Fabrication | All Geos,,"Campaign changed
  Automatically created assets changed from turned on to turned off
  Enable AI Max for Search Campaigns changed from True to False"
"Jan 7, 2026, 1:28:45 PM",webmaster@clix.co,Metal Fabrication | All Geos,Metal - Fabrication,"2 negative exact match keywords added
  -[laser cutting near me]
  -[different kinds of welding]"
"Jan 7, 2026, 1:28:45 PM",webmaster@clix.co,Metal Fabrication | All Geos,Steel - Fabrication,"8 negative exact match keywords added
  -[stainless steel tubing near me]
  -[metal engineering]
  -[bay area metal fabrication]
  -[steel supplier]
  -[plasma cutting near me]
  -[steel supply]
  -[manufacturing companies near me]
  -[local welding shops]"
"Jan 7, 2026, 1:27:51 PM",webmaster@clix.co,Metal Fabrication | All Geos,Metal - Fabrication,"21 negative exact match keywords added
  -[metal etching near me]
  -[steel fabricators]
  -[metal supply near me]
  -[send cut send]
  -[machine shops near me]
  -[machine shops]
  -[sheet metal fabrication]
  -[metal work]
  -[welding]
  -[yellow zinc chromate plating near me]
  -[metal shop near me]
  -[metal fabrication santa cruz]
  -[metal workers]
  -[welding services near me open now]
  -[waterjet cutting near me]
  -[metal works near me]
  -[metal cutting near me]
  -[mig vs tig welding]
  -[sinc metal welding and custom metal fabrication centennial]
  -[manufacturing]
  -[machine shop bellevue]"
"Jan 7, 2026, 1:27:51 PM",webmaster@clix.co,Metal Fabrication | All Geos,Aluminum - Fabrication,"1 negative exact match keyword added
  -[aluminum supply near me]"
"Jan 7, 2026, 1:27:51 PM",webmaster@clix.co,Metal Fabrication | All Geos,Steel - Fabrication,"9 negative exact match keywords added
  -[metal supply near me]
  -[machine shops near me]
  -[metal shops near me]
  -[steel fabricators near me]
  -[eastside steel]
  -[bay area steel supply]
  -[industrial metal supply]
  -[metal works]
  -[steel]"
"Jan 7, 2026, 1:23:46 PM",webmaster@clix.co,Fall Protection | All Geos,Engineered System,"18 negative exact match keywords added
  -[easi dec cost]
  -[oxford landing systems]
  -[ballantyne gear]
  -[sanderson safety]
  -[gme supply]
  -[warning line stanchions]
  -[super anchor safety]
  -[safewaze]
  -[petzl asap lock]
  -[malta dynamics]
  -[ballymore]
  -[ridge reacher]
  -[roofing harness kit]
  -[xsplatforms usa]
  -[oxford landing system]
  -[dbi sala]
  -[fall arrester]
  -[derrick harness]"
"Jan 7, 2026, 1:21:02 PM",webmaster@clix.co,Fall Protection | All Geos,Engineered System,"9 negative exact match keywords added
  -[safety belt harness]
  -[3 to 1 rope rescue system]
  -[retractable harness]
  -[werner fall protection]
  -[scaffold harness]
  -[fall protection plan pdf]
  -[fall protection toolbox talk construction]
  -[uline safety harness]
  -[rescue pole fall protection]"
"Jan 7, 2026, 1:19:02 PM",webmaster@clix.co,Fall Protection | All Geos,Engineered System,"1 negative exact match keyword added
  -[fall arrest equipment meaning]"
"Jan 7, 2026, 1:02:50 PM",webmaster@clix.co,Fall Protection | All Geos,Service/Installation,"1 ad group paused
  Status changed from enabled to paused"
"Jan 7, 2026, 12:52:12 PM",webmaster@clix.co,Metal Fabrication | All Geos,,"2 negative exact match keywords added
  -[aluminum water jet cutting]
  -[aluminum supplier]"
"Jan 7, 2026, 12:52:12 PM",webmaster@clix.co,Fall Protection | All Geos,,"4 negative exact match keywords added
  -[working at height solutions]
  -[ridge pro]
  -[summit anchor company]
  -[osha fall protection]"
"Jan 7, 2026, 12:52:12 PM",webmaster@clix.co,Metal Fabrication | PMAX,,"1 negative exact match keyword added
  -[mobile machinery mechanic]"
"Jan 7, 2026, 4:34:38 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 7, 2026, 4:34:35 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 6, 2026, 8:00:38 AM",webmaster@clix.co,Fall Protection | All Geos,Service/Installation,"1 negative exact match keyword added
  -[fall protection company]"
"Jan 6, 2026, 8:00:16 AM",webmaster@clix.co,Material Handling & Industrial Maintenance | All Geos,Hydraulic Repair - Services,"1 negative exact match keyword added
  -[hydraulic repair near me]"
"Jan 6, 2026, 7:46:39 AM",webmaster@clix.co,,,"Your data segment created
  Description is """"
  Name is ""Metal Fab 90""
  Status is ""Open""
  Membership life span is 90 days"
"Jan 6, 2026, 7:45:35 AM",webmaster@clix.co,,,"Your data segment created
  Description is """"
  Name is ""All web 30""
  Status is ""Open""
  Membership life span is 30 days"
"Jan 6, 2026, 4:39:33 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 6, 2026, 4:39:30 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 5, 2026, 4:38:22 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 5, 2026, 4:38:19 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 4, 2026, 4:32:47 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 4, 2026, 4:32:44 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Jan 2, 2026, 9:18:16 AM",webmaster@clix.co,Metal Fabrication | PMAX,,"8 negative exact match keywords added
  -[aerospace welding]
  -[advanced fabrication technology]
  -[accu pulse welding]
  -[material handling and packaging]
  -[hydraulic lifting equipment]
  -[advantage metal]
  -[warehouse packing equipment]
  -[c&h fabrication]"
"Jan 2, 2026, 9:17:15 AM",webmaster@clix.co,Metal Fabrication | All Geos,Metal - Fabrication,"3 negative exact match keywords added
  -[cut and send]
  -[anodizing near me]
  -[black steel pipe near me]"
"Jan 2, 2026, 9:16:22 AM",webmaster@clix.co,Metal Fabrication | All Geos,Metal - Fabrication,"1 negative exact match keyword added
  -[steel supplier near me]"
"Jan 2, 2026, 9:15:49 AM",webmaster@clix.co,Fall Protection | All Geos,Anchor,"1 broad match keyword added
  permanent roof tie off anchors"
"Jan 2, 2026, 9:15:31 AM",webmaster@clix.co,Fall Protection | All Geos,Engineered System,"4 negative exact match keywords added
  -[palmer safety]
  -[srl yoyo]
  -[3 way srl]
  -[safety harness]"
"Jan 2, 2026, 9:14:51 AM",webmaster@clix.co,Fall Protection | All Geos,Fall Protection Systems - Generic,"5 negative exact match keywords added
  -[srl fall protection]
  -[ansi z359]
  -[rope grab]
  -[proteccion de caidas osha]
  -[ansi assp z359 14 2021]"
"Jan 2, 2026, 9:14:05 AM",webmaster@clix.co,Fall Protection | All Geos,Guardrail/Railing,"2 negative exact match keywords added
  -[osha guardrail height]
  -[osha roof guardrail requirements]"
"Jan 2, 2026, 9:13:40 AM",webmaster@clix.co,Fall Protection | All Geos,Service/Installation,"2 negative exact match keywords added
  -[safety harness checklist]
  -[osha lanyard inspection requirements]"
"Jan 2, 2026, 9:13:26 AM",webmaster@clix.co,Fall Protection | All Geos,Climbing Devices,"5 negative exact match keywords added
  -[29 cfr 1910.23]
  -[4 to 1 rule]
  -[a frame ladder safety]
  -[osha fall protection standard]
  -[fall protection harness inspection form]"
"Jan 2, 2026, 9:13:16 AM",webmaster@clix.co,Fall Protection | All Geos,Climbing Devices,"1 broad match keyword added
  osha caged ladder"
"Jan 2, 2026, 4:34:47 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Jan 2, 2026, 4:34:44 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Dec 29, 2025, 1:07:20 PM",webmaster@clix.co,Metal Fabrication | All Geos,,"16 negative exact match keywords added
  -[custom anodizing near me]
  -[aluminum sheets of metal]
  -[the metal shop]
  -[all welding processes]
  -[metalsupermarkets com]
  -[hot dip galvanizing near me]
  -[8020 aluminum extrusion near me]
  -[aluminum i beams]
  -[prototek rancho cordova]
  -[sheet metals]
  -[blacksmith near me]
  -[steel near me]
  -[genfab metal fab limited]
  -[metal worker]
  -[h&l pipe and steel]
  -[metal supply bay area]"
"Dec 29, 2025, 1:07:20 PM",webmaster@clix.co,Metal Fabrication | PMAX,,"7 negative exact match keywords added
  -[parking stackers]
  -[distribution warehouse equipment]
  -[the basics of welding]
  -[stacker parking system]
  -[welding]
  -[scissor lift conveyor]
  -[belt dressing for slipping belt]"
"Dec 29, 2025, 1:05:49 PM",webmaster@clix.co,Metal Fabrication | All Geos,,"9 negative exact match keywords added
  -[nickel plating near me]
  -[metal artists near me]
  -[machine turning finish]
  -[local machine shops near me]
  -[welding work near me]
  -[water jet cutting near me]
  -[stainless steel metal]
  -[cold rolled steel]
  -[water jet services near me]"
"Dec 29, 2025, 1:05:49 PM",webmaster@clix.co,Fall Protection | All Geos,,"1 negative exact match keyword added
  -[safe railing height]"
"Dec 29, 2025, 1:05:49 PM",webmaster@clix.co,Metal Fabrication | PMAX,,"2 negative exact match keywords added
  -[car lifts for residential garages]
  -[my mechanic com]"
"Dec 29, 2025, 4:39:59 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Dec 29, 2025, 4:39:57 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Dec 28, 2025, 4:33:55 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Dec 28, 2025, 4:33:51 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Dec 27, 2025, 4:34:44 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Dec 27, 2025, 4:34:41 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Dec 26, 2025, 4:35:21 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Dec 26, 2025, 4:35:17 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Dec 25, 2025, 4:34:57 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Dec 25, 2025, 4:34:54 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Dec 24, 2025, 4:36:06 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Dec 24, 2025, 4:36:03 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
"Dec 23, 2025, 4:36:41 AM",adwords@hubspot.com,,,"Customer manager changed
  Status changed from Pending to Cancelled"
"Dec 23, 2025, 4:36:38 AM",adwords@hubspot.com,,,"Customer manager created
  Status is Pending
  The manager id is 9707398227"
